DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
3/25/20,25,3,2020,8789,211,United_States_of_America,US
3/24/20,24,3,2020,11236,119,United_States_of_America,US
3/23/20,23,3,2020,8459,131,United_States_of_America,US
3/22/20,22,3,2020,7123,80,United_States_of_America,US
3/21/20,21,3,2020,5374,110,United_States_of_America,US
3/20/20,20,3,2020,4835,0,United_States_of_America,US
3/19/20,19,3,2020,2988,42,United_States_of_America,US
3/18/20,18,3,2020,1766,23,United_States_of_America,US
3/17/20,17,3,2020,887,16,United_States_of_America,US
3/16/20,16,3,2020,823,12,United_States_of_America,US
3/15/20,15,3,2020,777,10,United_States_of_America,US
3/14/20,14,3,2020,511,7,United_States_of_America,US
3/13/20,13,3,2020,351,10,United_States_of_America,US
3/12/20,12,3,2020,287,2,United_States_of_America,US
3/11/20,11,3,2020,271,2,United_States_of_America,US
3/10/20,10,3,2020,200,5,United_States_of_America,US
3/9/20,9,3,2020,121,4,United_States_of_America,US
3/8/20,8,3,2020,95,3,United_States_of_America,US
3/7/20,7,3,2020,105,2,United_States_of_America,US
3/6/20,6,3,2020,74,1,United_States_of_America,US
3/5/20,5,3,2020,34,2,United_States_of_America,US
3/4/20,4,3,2020,22,3,United_States_of_America,US
3/3/20,3,3,2020,14,4,United_States_of_America,US
3/2/20,2,3,2020,20,1,United_States_of_America,US
3/1/20,1,3,2020,3,1,United_States_of_America,US
2/29/20,29,2,2020,6,0,United_States_of_America,US
2/28/20,28,2,2020,1,0,United_States_of_America,US
2/27/20,27,2,2020,6,0,United_States_of_America,US
2/26/20,26,2,2020,0,0,United_States_of_America,US
2/25/20,25,2,2020,18,0,United_States_of_America,US
2/24/20,24,2,2020,0,0,United_States_of_America,US
2/23/20,23,2,2020,0,0,United_States_of_America,US
2/22/20,22,2,2020,19,0,United_States_of_America,US
2/21/20,21,2,2020,1,0,United_States_of_America,US
2/20/20,20,2,2020,0,0,United_States_of_America,US
2/19/20,19,2,2020,0,0,United_States_of_America,US
2/18/20,18,2,2020,0,0,United_States_of_America,US
2/17/20,17,2,2020,0,0,United_States_of_America,US
2/16/20,16,2,2020,0,0,United_States_of_America,US
2/15/20,15,2,2020,0,0,United_States_of_America,US
2/14/20,14,2,2020,1,0,United_States_of_America,US
2/13/20,13,2,2020,1,0,United_States_of_America,US
2/12/20,12,2,2020,0,0,United_States_of_America,US
2/11/20,11,2,2020,1,0,United_States_of_America,US
2/10/20,10,2,2020,0,0,United_States_of_America,US
2/9/20,9,2,2020,0,0,United_States_of_America,US
2/8/20,8,2,2020,0,0,United_States_of_America,US
2/7/20,7,2,2020,0,0,United_States_of_America,US
2/6/20,6,2,2020,1,0,United_States_of_America,US
2/5/20,5,2,2020,0,0,United_States_of_America,US
2/4/20,4,2,2020,0,0,United_States_of_America,US
2/3/20,3,2,2020,3,0,United_States_of_America,US
2/2/20,2,2,2020,1,0,United_States_of_America,US
2/1/20,1,2,2020,1,0,United_States_of_America,US
1/31/20,31,1,2020,1,0,United_States_of_America,US
1/30/20,30,1,2020,0,0,United_States_of_America,US
1/29/20,29,1,2020,0,0,United_States_of_America,US
1/28/20,28,1,2020,0,0,United_States_of_America,US
1/27/20,27,1,2020,3,0,United_States_of_America,US
1/26/20,26,1,2020,0,0,United_States_of_America,US
1/25/20,25,1,2020,1,0,United_States_of_America,US
1/24/20,24,1,2020,0,0,United_States_of_America,US
1/23/20,23,1,2020,0,0,United_States_of_America,US
1/22/20,22,1,2020,0,0,United_States_of_America,US
1/21/20,21,1,2020,1,0,United_States_of_America,US
1/20/20,20,1,2020,0,0,United_States_of_America,US
1/19/20,19,1,2020,0,0,United_States_of_America,US
1/18/20,18,1,2020,0,0,United_States_of_America,US
1/17/20,17,1,2020,0,0,United_States_of_America,US
1/16/20,16,1,2020,0,0,United_States_of_America,US
1/15/20,15,1,2020,0,0,United_States_of_America,US
1/14/20,14,1,2020,0,0,United_States_of_America,US
1/13/20,13,1,2020,0,0,United_States_of_America,US
1/12/20,12,1,2020,0,0,United_States_of_America,US
1/11/20,11,1,2020,0,0,United_States_of_America,US
1/10/20,10,1,2020,0,0,United_States_of_America,US
1/9/20,9,1,2020,0,0,United_States_of_America,US
1/8/20,8,1,2020,0,0,United_States_of_America,US
1/7/20,7,1,2020,0,0,United_States_of_America,US
1/6/20,6,1,2020,0,0,United_States_of_America,US
1/5/20,5,1,2020,0,0,United_States_of_America,US
1/4/20,4,1,2020,0,0,United_States_of_America,US
1/3/20,3,1,2020,0,0,United_States_of_America,US
1/2/20,2,1,2020,0,0,United_States_of_America,US
1/1/20,1,1,2020,0,0,United_States_of_America,US
12/31/19,31,12,2019,0,0,United_States_of_America,US