time,open,high,low,last,change,volume,cases,deaths,geoid
3/25/20,1668.19,1707.64,1645.28,1704.76,94.79,0,100,6,KR
3/24/20,1523.69,1609.97,1508.68,1609.97,127.51,0,76,7,KR
3/23/20,1474.45,1516.75,1458.41,1482.46,-83.69,0,64,9,KR
3/20/20,1498.49,1566.82,1466.48,1566.15,108.51,0,87,9,KR
3/19/20,1626.09,1626.09,1439.43,1457.64,-133.56,0,152,5,KR
3/18/20,1686.12,1693.95,1591.12,1591.2,-81.24,0,93,5,KR
3/17/20,1640.84,1722.97,1637.88,1672.44,-42.42,0,84,6,KR
3/16/20,1805.43,1805.43,1714.38,1714.86,-56.58,0,74,0,KR
3/13/20,1722.68,1809.31,1680.6,1771.44,-62.89,0,110,1,KR
3/12/20,1887.97,1897.23,1808.56,1834.33,-73.94,0,114,6,KR
3/11/20,1965.67,1967.7,1898.27,1908.27,-54.66,0,242,6,KR
3/10/20,1942.85,1968.17,1934.72,1962.93,8.1600000000001,0,131,3,KR
2/28/20,2020.17,2031.01,1980.82,1987.01,-67.88,0,427,1,KR
2/27/20,2073.87,2085.4,2049.15,2054.89,-21.88,0,449,1,KR
2/26/20,2064.07,2089.64,2059.13,2076.77,-26.84,0,254,3,KR
2/25/20,2075.55,2105.49,2071.5,2103.61,24.57,0,130,1,KR
2/24/20,2114.04,2120.06,2079.03,2079.04,-83.8,0,161,2,KR
2/21/20,2165.65,2184.43,2160.28,2162.84,-32.66,0,75,1,KR
2/20/20,2223.55,2228.18,2186.72,2195.5,-14.84,0,34,0,KR
2/19/20,2222.51,2226,2191.2,2210.34,1.46,0,15,0,KR
2/18/20,2225.98,2232.93,2205.21,2208.88,-33.29,0,1,0,KR
2/17/20,2243.07,2250.05,2230.26,2242.17,-1.4200000000001,0,1,0,KR
2/14/20,2232.71,2251.5,2221.9,2243.59,10.63,0,0,0,KR
2/13/20,2245.72,2255.49,2230.3,2232.96,-5.4200000000001,0,0,0,KR
2/12/20,2225.95,2242.24,2214.77,2238.38,15.26,0,0,0,KR
2/11/20,2213.5,2233.32,2211.25,2223.12,22.05,0,1,0,KR
2/10/20,2185.63,2203.39,2180.51,2201.07,-10.88,0,2,0,KR
1/31/20,2160.6,2167.23,2119.01,2119.01,-28.99,0,3,0,KR
1/30/20,2181.54,2187.45,2139.72,2148,-37.28,0,0,0,KR
1/29/20,2188.18,2195.45,2172.33,2185.28,8.5600000000004,0,0,0,KR
1/28/20,2192.22,2199.93,2166.23,2176.72,-69.41,0,0,0,KR
1/23/20,2254.54,2260.63,2241.94,2246.13,-21.12,0,0,0,KR
1/22/20,2238.53,2269.27,2235.13,2267.25,27.56,0,0,0,KR
1/21/20,2259.81,2266.31,2238.25,2239.69,-22.95,0,0,0,KR
1/20/20,2261.4,2277.23,2258.09,2262.64,12.07,0,1,0,KR
1/17/20,2261.57,2268.71,2245.58,2250.57,2.52,0,0,0,KR
1/16/20,2231.93,2249.09,2225.41,2248.05,17.07,0,0,0,KR
1/15/20,2229.8,2238.21,2223.39,2230.98,-7.9000000000001,0,0,0,KR
1/14/20,2243.06,2250.79,2232.94,2238.88,9.6199999999999,0,0,0,KR
1/13/20,2204.49,2230.43,2204.49,2229.26,22.87,0,0,0,KR
1/10/20,2189.48,2206.92,2188.1,2206.39,19.94,0,0,0,KR